date,new_icu_admissions
2022-12-07,0
2022-12-08,1
2022-12-09,1
2022-12-10,0
2022-12-11,2
2022-12-12,0
2022-12-13,0
2022-12-14,0
2022-12-15,1
2022-12-16,0
2022-12-17,0
2022-12-18,1
2022-12-19,1
2022-12-20,0
2022-12-21,0
2022-12-22,0
2022-12-23,2
2022-12-24,1
2022-12-25,1
2022-12-26,1
2022-12-27,1
2022-12-28,1
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,1
2023-01-04,1
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,1
2023-01-09,1
2023-01-10,0
2023-01-11,1
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,1
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,1
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,1
2023-01-28,0
2023-01-29,1
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
